Cluster_ID,Best_Match,Similarity_Pct,Status,Total_Reads,Pct_of_Sample,Num_ASVs
Cluster_1012,Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium;Azadinium_sp.;,81.26,Confident match,620,0.39,71
Cluster_563,Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Piroplasmorida;Theileriidae;Theileria2;Theileria_luwenshuni;,78.79,Low confidence / possible divergent,594,0.38,26
Cluster_739,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Apostomatia;Apostomatia_X;Apostomatia_XX;Apostomatia_XX_sp.;,81.17,Confident match,594,0.38,46
Cluster_320,Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes;Labyrinthulomycetes_LAB15;Labyrinthulomycetes_LAB15_X;Labyrinthulomycetes_LAB15_X_sp.;,73.37,Low confidence / possible divergent,583,0.37,89
Cluster_567,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;Saccharomycetales;Candida;Candida_albicans;,76.16,Low confidence / possible divergent,562,0.36,68
Cluster_856,Eukaryota;TSAR;Alveolata;Ciliophora;Armophorea;Armophorea_X;Clevelandellida;Nyctotherus_2;Nyctotherus_ovalis;,77.8,Low confidence / possible divergent,559,0.36,33
Cluster_899,Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Cryptogregarinorida;Cryptosporidiidae;Cryptosporidium;Cryptosporidium_sp.;,69.7,Low confidence / possible divergent,538,0.34,22
Cluster_636,Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Adeleida;Hepatozoidae;Hepatozoon;Hepatozoon_sp.;,75.55,Low confidence / possible divergent,535,0.34,45
Cluster_798,Eukaryota;Excavata;Discoba;Discoba_X;Heterolobosea;Tetramitia_VI;Psalteriomonadidae;Harpagon;Harpagon_sp.;,71.2,Low confidence / possible divergent,533,0.34,39
Cluster_951,Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloropicon;Chloropicon_roscoffensis;,76.45,Low confidence / possible divergent,530,0.34,44
Cluster_415,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Hymenostomatia;Tetrahymenida;Tetrahymena;Tetrahymena_australis;,40.96,Candidate novel taxon,529,0.34,66
